"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-15","0.00",",,S","87","H,,S","94",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-17","0.42",",,S","84","H,,S","93",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-18","0.00",",,S","86","H,,S","94",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-20","0.00",",,S","83","H,,S","92",",,S","70",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-21","0.00",",,S","81","H,,S",,,"71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-22","0.00",",,S","88","H,,S","93",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-23","0.00",",,S","86","H,,S","92",",,S","67",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-24","0.00",",,S","83","H,,S",,,"68",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-25","0.00",",,S","85","H,,S","96",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-26","0.00",",,S","89","H,,S","95",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-27","0.00",",,S","85","H,,S","94",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-28","0.00",",,S","83","H,,S","91",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-03","0.00",",,S","88","H,,S","96",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-04","0.00",",,S","85","H,,S","96",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-05","0.11",",,S","85","H,,S",,,"74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-06","0.00",",,S","86","H,,S","95",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-07","0.00",",,S","86","H,,S","96",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-09","0.00",",,S","88","H,,S","96",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-10","0.85",",,S","86","H,,S","96",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-11","0.00",",,S","87","H,,S","94",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-12","0.00",",,S","83","H,,S",,,"69",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-13","0.00",",,S","83","H,,S",,,"70",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-14","0.00",",,S","86","H,,S","96",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-15","0.00",",,S","90","H,,S","98",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-17","0.33",",,S","84","H,,S",,,"75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-18","0.00",",,S","86","H,,S","96",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-19","0.00",",,S","88","H,,S","99",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-20","0.00",",,S","87","H,,S","99",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-21","0.00",",,S","84","H,,S",,,"75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-24","0.00",",,S","88","H,,S","99",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-25","0.00",",,S","87","H,,S","100",",,S","71",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-26","0.00",",,S","83","H,,S",,,"69",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-27","0.00",",,S","87","H,,S","99",",,S","72",",,S"
