Region,Current Date,Next Date,HCHO reading,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status,Month
Colombo Proper,2019-03-05,2019-03-06,0.0002163219808267,0,0,Before,Before,3
Colombo Proper,2019-03-06,2019-03-07,0.000135851958492,0,0,Before,Before,3
Colombo Proper,2019-03-07,2019-03-08,0.0002023807303628,0,0,Before,Before,3
Colombo Proper,2019-03-08,2019-03-09,0.0001644238164367,0,0,Before,Before,3
Colombo Proper,2019-03-09,2019-03-10,0.0002407151920019,0,0,Before,Before,3
Colombo Proper,2019-03-10,2019-03-11,0.0002969609827467,0,0,Before,Before,3
Colombo Proper,2019-03-11,2019-03-12,0.0002401309050569,0,0,Before,Before,3
Colombo Proper,2019-03-12,2019-03-13,0.0002577451751777,0,0,Before,Before,3
Colombo Proper,2019-03-13,2019-03-14,0.0002548286008604,0,0,Before,Before,3
Colombo Proper,2019-03-14,2019-03-15,0.0003018449398759,0,0,Before,Before,3
Colombo Proper,2019-03-15,2019-03-16,0.0001790542755015,0,0,Before,Before,3
Colombo Proper,2019-03-16,2019-03-17,0.0003507194301071,0,0,Before,Before,3
Colombo Proper,2019-03-17,2019-03-18,0.0002494769497451,0,0,Before,Before,3
Colombo Proper,2019-03-18,2019-03-19,0.0002619714680463,0,0,Before,Before,3
Colombo Proper,2019-03-19,2019-03-20,0.0002074590335083,0,0,Before,Before,3
Colombo Proper,2019-03-20,2019-03-21,0.0002559950022304,0,0,Before,Before,3
Colombo Proper,2019-03-21,2019-03-22,0.0002574249384947,0,0,Before,Before,3
Colombo Proper,2019-03-22,2019-03-23,0.0002689655073385,0,0,Before,Before,3
Colombo Proper,2019-03-23,2019-03-24,0.000144005550838,0,0,Before,Before,3
Colombo Proper,2019-03-24,2019-03-25,0.0002204458373225,0,0,Before,Before,3
Colombo Proper,2019-03-25,2019-03-26,0.0003577663287879,0,0,Before,Before,3
Colombo Proper,2019-03-26,2019-03-27,0.0002631266925609,0,0,Before,Before,3
Colombo Proper,2019-03-27,2019-03-28,0.0003646052956171,0,0,Before,Before,3
Colombo Proper,2019-03-28,2019-03-29,0.0003906452278091,0,0,Before,Before,3
Colombo Proper,2019-03-29,2019-03-30,0.0002540006405394,0,0,Before,Before,3
Colombo Proper,2019-03-30,2019-03-31,0.0002202186895424,0,0,Before,Before,3
Colombo Proper,2019-03-31,2019-04-01,0.0001155774606754,0,0,Before,Before,3
Colombo Proper,2019-04-01,2019-04-02,0.0001234932174866,0,0,Before,Before,4
Colombo Proper,2019-04-02,2019-04-03,0.0002688230247372,0,0,Before,Before,4
Colombo Proper,2019-04-03,2019-04-04,0.0002481947937724,0,0,Before,Before,4
Colombo Proper,2019-04-04,2019-04-05,0.0002401417063094,0,0,Before,Before,4
Colombo Proper,2019-04-05,2019-04-06,0.0001694011577926,0,0,Before,Before,4
Colombo Proper,2019-04-06,2019-04-07,0.0001030405027441,0,0,Before,Before,4
Colombo Proper,2019-04-07,2019-04-08,0.00017994348916,0,0,Before,Before,4
Colombo Proper,2019-04-08,2019-04-09,0.0001938136388473,0,0,Before,Before,4
Colombo Proper,2019-04-09,2019-04-10,0.0002005766244694,0,0,Before,Before,4
Colombo Proper,2019-04-10,2019-04-11,0.0002045066130365,0,0,Before,Before,4
Colombo Proper,2019-04-11,2019-04-12,0.0002787301089676,0,0,Before,Before,4
Colombo Proper,2019-04-12,2019-04-13,0.000250075849252,0,0,Before,Before,4
Colombo Proper,2019-04-13,2019-04-14,0.000334870158729,0,0,Before,Before,4
Colombo Proper,2019-04-14,2019-04-15,0.0002346452117802,0,0,Before,Before,4
Colombo Proper,2019-04-15,2019-04-16,0.0002437621655503,0,0,Before,Before,4
Colombo Proper,2019-04-16,2019-04-17,0.0002537518708909,0,0,Before,Before,4
Colombo Proper,2019-04-17,2019-04-18,0.0002670456824962,0,0,Before,Before,4
Colombo Proper,2019-04-18,2019-04-19,0.0001927819063126,0,0,Before,Before,4
Colombo Proper,2019-04-19,2019-04-20,0.0002592426380978,0,0,Before,Before,4
Colombo Proper,2019-04-20,2019-04-21,0.000144213058033,0,0,Before,Before,4
Colombo Proper,2019-04-21,2019-04-22,0.0001454167284999,0,0,Before,Before,4
Colombo Proper,2019-04-22,2019-04-23,0.0001711205695593,0,0,Before,Before,4
Colombo Proper,2019-04-23,2019-04-24,0.000293224440643,0,0,Before,Before,4
Colombo Proper,2019-04-24,2019-04-25,0.0001399382956399,0,0,Before,Before,4
Colombo Proper,2019-04-25,2019-04-26,9.581443666026756e-05,0,0,Before,Before,4
Colombo Proper,2019-04-26,2019-04-27,0.0001649545881725,0,0,Before,Before,4
Colombo Proper,2019-04-27,2019-04-28,0.0001649545881725,0,0,Before,Before,4
Colombo Proper,2019-04-28,2019-04-29,0.0001691028942004,0,0,Before,Before,4
Colombo Proper,2019-04-29,2019-04-30,0.0001750244356256,0,0,Before,Before,4
Colombo Proper,2019-04-30,2019-05-01,0.0001763257243143,0,0,Before,Before,4
Colombo Proper,2019-05-01,2019-05-02,9.747576626042276e-05,0,0,Before,Before,5
Colombo Proper,2019-05-02,2019-05-03,9.66451014603452e-05,0,0,Before,Before,5
Colombo Proper,2019-05-03,2019-05-04,9.747576626042276e-05,0,0,Before,Before,5
Colombo Proper,2019-05-04,2019-05-05,0.0001008724552225,0,0,Before,Before,5
Colombo Proper,2019-05-05,2019-05-06,9.917411074146143e-05,0,0,Before,Before,5
Colombo Proper,2019-05-06,2019-05-07,3.904429319723554e-05,0,0,Before,Before,5
Colombo Proper,2019-05-07,2019-05-08,0.0001174876039439,0,0,Before,Before,5
Colombo Proper,2019-05-08,2019-05-09,0.000101303794324,0,0,Before,Before,5
Colombo Proper,2019-05-09,2019-05-10,9.939428098153852e-05,0,0,Before,Before,5
Colombo Proper,2019-05-10,2019-05-11,0.000125364158271,0,0,Before,Before,5
Colombo Proper,2019-05-11,2019-05-12,0.0001274753051841,0,0,Before,Before,5
Colombo Proper,2019-05-12,2019-05-13,8.802823548435995e-05,0,0,Before,Before,5
Colombo Proper,2019-05-13,2019-05-14,2.4982204901168622e-05,0,0,Before,Before,5
Colombo Proper,2019-05-14,2019-05-15,0.0001810438022415,0,0,Before,Before,5
Colombo Proper,2019-05-15,2019-05-16,0.0001394291724461,0,0,Before,Before,5
Colombo Proper,2019-05-16,2019-05-17,0.0001171367229027,0,0,Before,Before,5
Colombo Proper,2019-05-17,2019-05-18,0.0001095084478863,0,0,Before,Before,5
Colombo Proper,2019-05-18,2019-05-19,9.525618991159472e-05,0,0,Before,Before,5
Colombo Proper,2019-05-19,2019-05-20,8.700221402162398e-05,0,0,Before,Before,5
Colombo Proper,2019-05-20,2019-05-21,0.0003986268368399,0,0,Before,Before,5
Colombo Proper,2019-05-21,2019-05-22,0.0001611433408928,0,0,Before,Before,5
Colombo Proper,2019-05-22,2019-05-23,0.0001578265973347,0,0,Before,Before,5
Colombo Proper,2019-05-23,2019-05-24,0.0002171247684173,0,0,Before,Before,5
Colombo Proper,2019-05-24,2019-05-25,0.0001815036914153,0,0,Before,Before,5
Colombo Proper,2019-05-25,2019-05-26,0.0001897835067573,0,0,Before,Before,5
Colombo Proper,2019-05-26,2019-05-27,0.00011078022387,0,0,Before,Before,5
Colombo Proper,2019-05-27,2019-05-28,0.0001368899250486,0,0,Before,Before,5
Colombo Proper,2019-05-28,2019-05-29,0.000165996737955,0,0,Before,Before,5
Colombo Proper,2019-05-29,2019-05-30,-2.056808215846379e-05,0,0,Before,Before,5
Colombo Proper,2019-05-30,2019-05-31,0.0002179323946145,0,0,Before,Before,5
Colombo Proper,2019-05-31,2019-06-01,9.379307690791867e-05,0,0,Before,Before,5
Colombo Proper,2019-06-01,2019-06-02,7.067572073902713e-05,0,0,Before,Before,6
Colombo Proper,2019-06-02,2019-06-03,0.0001658041001064,0,0,Before,Before,6
Colombo Proper,2019-06-03,2019-06-04,0.0001609821398171,0,0,Before,Before,6
Colombo Proper,2019-06-04,2019-06-05,8.42250633206326e-05,0,0,Before,Before,6
Colombo Proper,2019-06-05,2019-06-06,0.0001104063447638,0,0,Before,Before,6
Colombo Proper,2019-06-06,2019-06-07,0.0001322354159175,0,0,Before,Before,6
Colombo Proper,2019-06-07,2019-06-08,0.0001150960201782,0,0,Before,Before,6
Colombo Proper,2019-06-08,2019-06-09,0.0001221799295052,0,0,Before,Before,6
Colombo Proper,2019-06-09,2019-06-10,0.0001843041391111,0,0,Before,Before,6
Colombo Proper,2019-06-10,2019-06-11,0.0001379228179385,0,0,Before,Before,6
Colombo Proper,2019-06-11,2019-06-12,8.17687223806277e-05,0,0,Before,Before,6
Colombo Proper,2019-06-12,2019-06-13,0.0001880614290712,0,0,Before,Before,6
Colombo Proper,2019-06-13,2019-06-14,2.3285886143280304e-05,0,0,Before,Before,6
Colombo Proper,2019-06-14,2019-06-15,8.209911205126233e-05,0,0,Before,Before,6
Colombo Proper,2019-06-15,2019-06-16,0.0001636562089987,0,0,Before,Before,6
Colombo Proper,2019-06-16,2019-06-17,0.000120529249626,0,0,Before,Before,6
Colombo Proper,2019-06-17,2019-06-18,0.0001534455988928,0,0,Before,Before,6
Colombo Proper,2019-06-18,2019-06-19,0.000158330813573,0,0,Before,Before,6
Colombo Proper,2019-06-19,2019-06-20,0.0001450758394609,0,0,Before,Before,6
Colombo Proper,2019-06-20,2019-06-21,0.0001209822431866,0,0,Before,Before,6
Colombo Proper,2019-06-21,2019-06-22,0.0001405215145953,0,0,Before,Before,6
Colombo Proper,2019-06-22,2019-06-23,0.0001403497627398,0,0,Before,Before,6
Colombo Proper,2019-06-23,2019-06-24,1.9792269443138506e-05,0,0,Before,Before,6
Colombo Proper,2019-06-24,2019-06-25,0.0002885739086195,0,0,Before,Before,6
Colombo Proper,2019-06-25,2019-06-26,0.0001698958410235,0,0,Before,Before,6
